"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000019076","Map2k3"
"ENSMUST00000019101","Scml2"
"ENSMUST00000019192","Cryaa"
"ENSMUST00000019246","Aldh3a1"
"ENSMUST00000019266","Ccl9"
"ENSMUST00000019283","Isyna1"
"ENSMUST00000019323","Mdh2"
"ENSMUST00000019422","Dpep1"
"ENSMUST00000019441","Nop9"
"ENSMUST00000019445","Hsd17b1"
"ENSMUST00000019469","G6pc"
"ENSMUST00000019512","Sec14l4"
"ENSMUST00000019576","Ddx39"
"ENSMUST00000019611","Arhgef25"
"ENSMUST00000019616","Icam5"
"ENSMUST00000019625","Myh8"
"ENSMUST00000019683","Rcn3"
"ENSMUST00000019721","Pdk4"
"ENSMUST00000019896","Iyd"
"ENSMUST00000019929","Katna1"
"ENSMUST00000019945","Pex3"
"ENSMUST00000019951","Cep57l1"
"ENSMUST00000019962","Cd164"
"ENSMUST00000019974","Rab32"
"ENSMUST00000019975","Wasf1"
"ENSMUST00000019992","Lama4"
"ENSMUST00000019997","Tnfaip3"
"ENSMUST00000020017","Aim1"
"ENSMUST00000020022","Smpdl3a"
"ENSMUST00000020024","Fabp7"
"ENSMUST00000020027","Serinc1"
"ENSMUST00000020039","Mgat4c"
"ENSMUST00000020040","Nts"
"ENSMUST00000020081","Zwint"
"ENSMUST00000020085","Ube2d1"
"ENSMUST00000020158","Myb"
"ENSMUST00000020161","Arg1"
"ENSMUST00000020163","Nedd1"
"ENSMUST00000020188","Ifngr1"
"ENSMUST00000020217","Nudt4"
"ENSMUST00000020227","Cry1"
"ENSMUST00000020234","Timp3"
"ENSMUST00000020241","Pah"
"ENSMUST00000020249","Dram1"
"ENSMUST00000020252","Sycp3"
"ENSMUST00000020266","Pbld1"
"ENSMUST00000020273","Supv3l1"
"ENSMUST00000020298","Pcbd1"
"ENSMUST00000020308","Ddit4"
"ENSMUST00000020321","Plek"
"ENSMUST00000020329","Egfr"
"ENSMUST00000020339","Tbc1d15"
"ENSMUST00000020359","Gamt"
"ENSMUST00000020361","Ndufs7"
"ENSMUST00000020365","Mum1"
"ENSMUST00000020382","Yeats4"
"ENSMUST00000020383","Atp8b3"
"ENSMUST00000020403","Csrp2"
"ENSMUST00000020439","Wif1"
"ENSMUST00000020446","Tmbim4"
"ENSMUST00000020452","Prmt2"
"ENSMUST00000020488","D10Wsu102e"
"ENSMUST00000020496","Adarb1"
"ENSMUST00000020527","1700093K21Rik"
"ENSMUST00000020537","Nsg2"
"ENSMUST00000020576","Ccng1"
"ENSMUST00000020653","Sar1b"
"ENSMUST00000020657","Ube2b"
"ENSMUST00000020664","Itk"
"ENSMUST00000020683","Hus1"
"ENSMUST00000020687","Pttg1"
"ENSMUST00000020692","Btg2"
"ENSMUST00000020702","Igfbp3"
"ENSMUST00000020703","Gabra6"
"ENSMUST00000020707","Gabra1"
"ENSMUST00000020710","Tcn2"
"ENSMUST00000020718","Smtn"
"ENSMUST00000020754","Ccdc104"
"ENSMUST00000020768","Pgam2"
"ENSMUST00000020775","Dynll2"
"ENSMUST00000020776","Ccdc117"
"ENSMUST00000020779","Mpo"
"ENSMUST00000020804","Gdpd1"
"ENSMUST00000020822","Cnot8"
"ENSMUST00000020826","Sap30l"
"ENSMUST00000020830","Mfap3"
"ENSMUST00000020835","Ppm1d"
"ENSMUST00000020884","Atp6v1c2"
"ENSMUST00000020885","Sypl"
"ENSMUST00000020898","Agr2"
"ENSMUST00000020909","Laptm4a"
"ENSMUST00000020911","Sdc1"
"ENSMUST00000020926","Fam84a"
"ENSMUST00000020957","Adi1"
"ENSMUST00000020964","Fkbp1b"
"ENSMUST00000020965","Allc"
"ENSMUST00000020970","Rsad2"
"ENSMUST00000020974","Id2"
"ENSMUST00000020979","Bcap29"
"ENSMUST00000020980","Rrm2"
"ENSMUST00000020985","Grhl1"
"ENSMUST00000020990","Pomc"
"ENSMUST00000021040","Cct6b"
"ENSMUST00000021052","Smarcd2"
"ENSMUST00000021065","Cacng1"
"ENSMUST00000021077","Slc9a3r1"
"ENSMUST00000021078","Fdxr"
"ENSMUST00000021091","Pafah1b1"
"ENSMUST00000021114","Galk1"
"ENSMUST00000021142","Atp2a3"
"ENSMUST00000021155","Tekt1"
"ENSMUST00000021157","Med31"
"ENSMUST00000021207","Fam101b"
"ENSMUST00000021242","Tac4"
"ENSMUST00000021243","Slc35b1"
"ENSMUST00000021246","Snx11"
"ENSMUST00000021251","Lrrc46"
"ENSMUST00000021273","Vamp2"
"ENSMUST00000021290","Rcvrn"
"ENSMUST00000021333","Foxg1"
"ENSMUST00000021412","Psma6"
"ENSMUST00000021450","Sgpp1"
"ENSMUST00000021459","Rab15"
"ENSMUST00000021468","Nin"
"ENSMUST00000021497","Rtn1"
"ENSMUST00000021506","Serpina3n"
"ENSMUST00000021512","Dhrs7"
"ENSMUST00000021530","Hif1a"
"ENSMUST00000021550","Arg2"
"ENSMUST00000021552","Zfp36l1"
"ENSMUST00000021564","Smoc1"
"ENSMUST00000021607","Lgmn"
"ENSMUST00000021610","Chga"
"ENSMUST00000021628","Akr1c21"
"ENSMUST00000021630","Akr1c6"
"ENSMUST00000021634","Akr1c13"
"ENSMUST00000021635","Akr1c18"
"ENSMUST00000021668","Npc2"
"ENSMUST00000021674","Fos"
"ENSMUST00000021707","Amn"
"ENSMUST00000021714","Zfyve21"
"ENSMUST00000021726","Adssl1"
"ENSMUST00000021734","Gng4"
"ENSMUST00000021792","Mak"
"ENSMUST00000021793","Elovl2"
"ENSMUST00000021810","Id4"
"ENSMUST00000021853","Eci3"
"ENSMUST00000021854","Eci2"
"ENSMUST00000021860","Ly86"
"ENSMUST00000021866","Riok1"
"ENSMUST00000021880","Ctla2a"
"ENSMUST00000021884","Ctla2b"
"ENSMUST00000021888","Ctsq"
"ENSMUST00000021889","Ctsr"
"ENSMUST00000021890","Cts6"
"ENSMUST00000021903","Gadd45g"
"ENSMUST00000021907","Fbp2"
"ENSMUST00000021920","Sptlc1"
"ENSMUST00000021929","Habp4"
"ENSMUST00000021948","F12"
"ENSMUST00000021968","Pitx1"
"ENSMUST00000021970","Cxcl14"
"ENSMUST00000022028","1700067P10Rik"
"ENSMUST00000022036","Slc28a3"
"ENSMUST00000022038","Naa35"
"ENSMUST00000022039","Golm1"
"ENSMUST00000022062","Sdha"
"ENSMUST00000022099","Lpcat1"
"ENSMUST00000022100","Slc6a3"
"ENSMUST00000022105","Slc6a18"
"ENSMUST00000022120","Acot12"
"ENSMUST00000022122","Ckmt2"
"ENSMUST00000022145","Serf1"
"ENSMUST00000022147","Smn1"
"ENSMUST00000022150","Cartpt"
"ENSMUST00000022213","Thbs4"
"ENSMUST00000022230","Srek1ip1"
"ENSMUST00000022242","Emb"
"ENSMUST00000022269","Oit1"
"ENSMUST00000022282","Gpx8"
"ENSMUST00000022287","Fst"
"ENSMUST00000022317","Fam213a"
"ENSMUST00000022322","Glud1"
"ENSMUST00000022330","Ldb3"
"ENSMUST00000022337","Cdhr1"
"ENSMUST00000022338","Rgr"
"ENSMUST00000022369","Vcl"
"ENSMUST00000022398","1700011H14Rik"
"ENSMUST00000022459","Phf7"
"ENSMUST00000022464","Msmb"
"ENSMUST00000022471","Pbrm1"
"ENSMUST00000022496","Kpna3"
"ENSMUST00000022517","Cryl1"
"ENSMUST00000022519","Anxa8"
"ENSMUST00000022535","Dcp1a"
"ENSMUST00000022548","1700129C05Rik"
"ENSMUST00000022563","Mtmr6"
"ENSMUST00000022567","Cacna2d3"
"ENSMUST00000022576","Cpb2"
"ENSMUST00000022587","Tsc22d1"
"ENSMUST00000022590","Dnajc15"
"ENSMUST00000022591","Epsti1"
"ENSMUST00000022595","Rgcc"
"ENSMUST00000022603","Lect1"
"ENSMUST00000022610","Scara5"
"ENSMUST00000022612","Pbk"
"ENSMUST00000022616","Clu"
"ENSMUST00000022618","Adam2"
"ENSMUST00000022622","Ptk2b"
"ENSMUST00000022637","Ebf2"
"ENSMUST00000022639","Nefl"
"ENSMUST00000022641","Adamdec1"
"ENSMUST00000022646","Nkx3-1"
"ENSMUST00000022681","Pdlim2"
"ENSMUST00000022692","Sftpc"
"ENSMUST00000022694","Dmtn"
"ENSMUST00000022701","Rb1"
"ENSMUST00000022705","Med4"
"ENSMUST00000022718","Ednrb"
"ENSMUST00000022725","Dct"
"ENSMUST00000022727","Tgds"
"ENSMUST00000022749","C9"
"ENSMUST00000022767","Mettl3"
"ENSMUST00000022784","Haus4"
"ENSMUST00000022816","Sub1"
"ENSMUST00000022821","Dhrs4"
"ENSMUST00000022826","Fitm1"
"ENSMUST00000022849","Tars"
"ENSMUST00000022853","C1qtnf3"
"ENSMUST00000022865","Mtdh"
"ENSMUST00000022867","Laptm4b"
"ENSMUST00000022890","Rnf19a"
"ENSMUST00000022927","Rad21"
"ENSMUST00000022945","Shcbp1"
"ENSMUST00000022946","Hrsp12"
"ENSMUST00000022952","Osr2"
"ENSMUST00000022954","Khdrbs3"
"ENSMUST00000022980","Ndufb9"
"ENSMUST00000022995","Slc22a22"
"ENSMUST00000023006","Lrrc6"
"ENSMUST00000023040","Slc25a17"
"ENSMUST00000023055","Dnal4"
"ENSMUST00000023056","Deptor"
"ENSMUST00000023069","Fam118a"
"ENSMUST00000023070","Upk3a"
"ENSMUST00000023074","Parvg"
"ENSMUST00000023101","Slc38a4"
"ENSMUST00000023104","Rpap3"
"ENSMUST00000023105","Endou"
"ENSMUST00000023116","Aco2"
"ENSMUST00000023119","Vdr"
"ENSMUST00000023132","Pde1b"
"ENSMUST00000023134","Glycam1"
"ENSMUST00000023144","Prm1"
"ENSMUST00000023154","Cldn1"
"ENSMUST00000023203","Gpt"
"ENSMUST00000023207","Apod"
"ENSMUST00000023210","Cyc1"
"ENSMUST00000023214","Dgat1"
"ENSMUST00000023219","Fbxl6"
"ENSMUST00000023226","Plec"
"ENSMUST00000023247","Ly6f"
"ENSMUST00000023259","Lynx1"
"ENSMUST00000023265","Psca"
"ENSMUST00000023282","Miox"
"ENSMUST00000023295","Acr"
"ENSMUST00000023312","Alcam"
"ENSMUST00000023328","Retnlb"
"ENSMUST00000023329","Retnla"
"ENSMUST00000023341","Cd200"
"ENSMUST00000023353","Mcm4"
"ENSMUST00000023450","Serpind1"
"ENSMUST00000023453","Sdf2l1"
"ENSMUST00000023468","Spag6"
"ENSMUST00000023482","B4galt4"
"ENSMUST00000023494","Popdc2"
"ENSMUST00000023520","Muc13"
"ENSMUST00000023530","Ropn1"
"ENSMUST00000023559","Ehhadh"
"ENSMUST00000023583","Ahsg"
"ENSMUST00000023587","Fetub"
"ENSMUST00000023590","Hrg"
"ENSMUST00000023601","St6gal1"
"ENSMUST00000023602","Prl2a1"
"ENSMUST00000023608","Atp5j"
"ENSMUST00000023612","Ets2"
"ENSMUST00000023617","Ildr1"
"ENSMUST00000023648","4930553J12Rik/Krtap15"
"ENSMUST00000023652","Grik1"
"ENSMUST00000023677","Atp5o"
"ENSMUST00000023694","1110004E09Rik"
"ENSMUST00000023709","Krt5"
"ENSMUST00000023710","Krt71"
"ENSMUST00000023712","Krt2"
"ENSMUST00000023720","Krt84"
"ENSMUST00000023726","Lalba"
"ENSMUST00000023749","Tmbim6"
"ENSMUST00000023760","Gpd1"
"ENSMUST00000023762","Cers5"
"ENSMUST00000023775","Cela1"
"ENSMUST00000023779","Nr4a1"
"ENSMUST00000023788","Krt6a"
"ENSMUST00000023790","Krt1"
"ENSMUST00000023797","Krt4"
"ENSMUST00000023799","Krt79"
"ENSMUST00000023805","Csad"
"ENSMUST00000023807","Igfbp6"
"ENSMUST00000023809","Amhr2"
"ENSMUST00000023820","Fabp2"
"ENSMUST00000023826","Sncg"
"ENSMUST00000023832","Rgn"
"ENSMUST00000023840","Cxcl13"
"ENSMUST00000023849","Ccrn4l"
"ENSMUST00000023851","Ndufa5"
"ENSMUST00000023886","Sult1c2"
"ENSMUST00000023897","Gzma"
"ENSMUST00000023906","Reg2"
"ENSMUST00000023918","Ivns1abp"
"ENSMUST00000023953","Ceacam14"
"ENSMUST00000023965","Cfhr1"
"ENSMUST00000024004","Ccl25"
"ENSMUST00000024005","Scg5"
"ENSMUST00000024015","Guca2a"
"ENSMUST00000024026","Cypt1"
"ENSMUST00000024032","9530002B09Rik"
"ENSMUST00000024042","Creld2"
"ENSMUST00000024044","Cd4"
"ENSMUST00000024049","Bmp15"
"ENSMUST00000024078","March5"
"ENSMUST00000024099","Ache"
"ENSMUST00000024171","Stk31"
"ENSMUST00000024233","Tulp2"
"ENSMUST00000024249","Prph"
"ENSMUST00000024338","Fam132a"
"ENSMUST00000024596","Slc22a1"
"ENSMUST00000024639","Map2"
"ENSMUST00000024650","1700010I14Rik"
